LEXEMA	TOKEN	LINEA
Foundation	IDENTIFICADOR	1
nombre	IDENTIFICADOR	2
String	IDENTIFICADOR	2
edad	IDENTIFICADOR	3
Int	IDENTIFICADOR	3
altura	IDENTIFICADOR	4
Double	IDENTIFICADOR	4
activo	IDENTIFICADOR	5
Bool	IDENTIFICADOR	5
universidad	IDENTIFICADOR	6
String	IDENTIFICADOR	6
semestre	IDENTIFICADOR	7
Int	IDENTIFICADOR	7
promedio	IDENTIFICADOR	8
Double	IDENTIFICADOR	8
aprobado	IDENTIFICADOR	9
Bool	IDENTIFICADOR	9
print	IDENTIFICADOR	10
nombre	IDENTIFICADOR	10
print	IDENTIFICADOR	11
edad	IDENTIFICADOR	11
print	IDENTIFICADOR	12
altura	IDENTIFICADOR	12
edad	IDENTIFICADOR	13
aprobado	IDENTIFICADOR	14
aprobado	IDENTIFICADOR	16
aprobado	IDENTIFICADOR	18
promedio	IDENTIFICADOR	18
print	IDENTIFICADOR	19
print	IDENTIFICADOR	21
numero	IDENTIFICADOR	23
print	IDENTIFICADOR	24
numero	IDENTIFICADOR	24
contador	IDENTIFICADOR	26
Int	IDENTIFICADOR	26
contador	IDENTIFICADOR	27
contador	IDENTIFICADOR	28
saludar	IDENTIFICADOR	30
nombre	IDENTIFICADOR	30
String	IDENTIFICADOR	30
String	IDENTIFICADOR	30
nombre	IDENTIFICADOR	31
mensaje	IDENTIFICADOR	33
String	IDENTIFICADOR	33
saludar	IDENTIFICADOR	33
nombre	IDENTIFICADOR	33
nombre	IDENTIFICADOR	33
print	IDENTIFICADOR	34
mensaje	IDENTIFICADOR	34
Estudiante	IDENTIFICADOR	35
nombre	IDENTIFICADOR	36
String	IDENTIFICADOR	36
edad	IDENTIFICADOR	37
Int	IDENTIFICADOR	37
nota	IDENTIFICADOR	38
Double	IDENTIFICADOR	38
estudiante	IDENTIFICADOR	40
Estudiante	IDENTIFICADOR	40
nombre	IDENTIFICADOR	40
edad	IDENTIFICADOR	40
nota	IDENTIFICADOR	40
print	IDENTIFICADOR	41
estudiante	IDENTIFICADOR	41
nombre	IDENTIFICADOR	41
print	IDENTIFICADOR	42
estudiante	IDENTIFICADOR	42
edad	IDENTIFICADOR	42
Curso	IDENTIFICADOR	43
nombre	IDENTIFICADOR	44
String	IDENTIFICADOR	44
creditos	IDENTIFICADOR	45
Int	IDENTIFICADOR	45
nombre	IDENTIFICADOR	46
String	IDENTIFICADOR	46
creditos	IDENTIFICADOR	46
Int	IDENTIFICADOR	46
nombre	IDENTIFICADOR	47
nombre	IDENTIFICADOR	47
creditos	IDENTIFICADOR	48
creditos	IDENTIFICADOR	48
curso	IDENTIFICADOR	51
Curso	IDENTIFICADOR	51
nombre	IDENTIFICADOR	51
creditos	IDENTIFICADOR	51
print	IDENTIFICADOR	52
curso	IDENTIFICADOR	52
nombre	IDENTIFICADOR	52
semestre	IDENTIFICADOR	53
print	IDENTIFICADOR	55
print	IDENTIFICADOR	57
print	IDENTIFICADOR	59
print	IDENTIFICADOR	61
suma	IDENTIFICADOR	63
Int	IDENTIFICADOR	63
resta	IDENTIFICADOR	64
Int	IDENTIFICADOR	64
multiplicacion	IDENTIFICADOR	65
Int	IDENTIFICADOR	65
division	IDENTIFICADOR	66
Int	IDENTIFICADOR	66
modulo	IDENTIFICADOR	67
Int	IDENTIFICADOR	67
resultado	IDENTIFICADOR	68
Bool	IDENTIFICADOR	68
suma	IDENTIFICADOR	68
resta	IDENTIFICADOR	68
resultado	IDENTIFICADOR	69
suma	IDENTIFICADOR	69
resta	IDENTIFICADOR	69
resultado	IDENTIFICADOR	70
suma	IDENTIFICADOR	70
resta	IDENTIFICADOR	70
resultado	IDENTIFICADOR	71
suma	IDENTIFICADOR	71
resta	IDENTIFICADOR	71
resultado	IDENTIFICADOR	72
activo	IDENTIFICADOR	72
aprobado	IDENTIFICADOR	72
resultado	IDENTIFICADOR	73
activo	IDENTIFICADOR	73
aprobado	IDENTIFICADOR	73
resultado	IDENTIFICADOR	74
aprobado	IDENTIFICADOR	74
edad	IDENTIFICADOR	75
promedio	IDENTIFICADOR	76
