1	IMPORT	import
1	IDENTIFICADOR	Foundation
2	VAR	var
2	IDENTIFICADOR	nombre
2	DOS_PUNTOS	:
2	IDENTIFICADOR	String
2	ASIGNACION	=
2	CADENA	"Diego"
3	VAR	var
3	IDENTIFICADOR	edad
3	DOS_PUNTOS	:
3	IDENTIFICADOR	Int
3	ASIGNACION	=
3	ENTERO	20
4	VAR	var
4	IDENTIFICADOR	altura
4	DOS_PUNTOS	:
4	IDENTIFICADOR	Double
4	ASIGNACION	=
4	FLOTANTE	1.75
5	VAR	var
5	IDENTIFICADOR	activo
5	DOS_PUNTOS	:
5	IDENTIFICADOR	Bool
5	ASIGNACION	=
5	BOOLEANO	true
6	LET	let
6	IDENTIFICADOR	universidad
6	DOS_PUNTOS	:
6	IDENTIFICADOR	String
6	ASIGNACION	=
6	CADENA	"Mesoamericana"
7	LET	let
7	IDENTIFICADOR	semestre
7	DOS_PUNTOS	:
7	IDENTIFICADOR	Int
7	ASIGNACION	=
7	ENTERO	6
8	VAR	var
8	IDENTIFICADOR	promedio
8	DOS_PUNTOS	:
8	IDENTIFICADOR	Double
8	ASIGNACION	=
8	FLOTANTE	85.5
9	VAR	var
9	IDENTIFICADOR	aprobado
9	DOS_PUNTOS	:
9	IDENTIFICADOR	Bool
9	ASIGNACION	=
9	BOOLEANO	false
10	IDENTIFICADOR	print
10	PARENTESIS_ABRE	(
10	IDENTIFICADOR	nombre
10	PARENTESIS_CIERRA	)
11	IDENTIFICADOR	print
11	PARENTESIS_ABRE	(
11	IDENTIFICADOR	edad
11	PARENTESIS_CIERRA	)
12	IDENTIFICADOR	print
12	PARENTESIS_ABRE	(
12	IDENTIFICADOR	altura
12	PARENTESIS_CIERRA	)
13	IF	if
13	IDENTIFICADOR	edad
13	MAYOR_IGUAL	>=
13	ENTERO	18
13	LLAVE_ABRE	{
14	IDENTIFICADOR	aprobado
14	ASIGNACION	=
14	BOOLEANO	true
15	LLAVE_CIERRA	}
15	ELSE	else
15	LLAVE_ABRE	{
16	IDENTIFICADOR	aprobado
16	ASIGNACION	=
16	BOOLEANO	false
17	LLAVE_CIERRA	}
18	IF	if
18	IDENTIFICADOR	aprobado
18	IGUAL_QUE	==
18	BOOLEANO	true
18	AND	&&
18	IDENTIFICADOR	promedio
18	MAYOR_IGUAL	>=
18	FLOTANTE	61.0
18	LLAVE_ABRE	{
19	IDENTIFICADOR	print
19	PARENTESIS_ABRE	(
19	CADENA	"Aprobado"
19	PARENTESIS_CIERRA	)
20	LLAVE_CIERRA	}
20	ELSE	else
20	LLAVE_ABRE	{
21	IDENTIFICADOR	print
21	PARENTESIS_ABRE	(
21	CADENA	"Reprobado"
21	PARENTESIS_CIERRA	)
22	LLAVE_CIERRA	}
23	FOR	for
23	IDENTIFICADOR	numero
23	IN	in
23	ENTERO	1
23	PUNTO	.
23	PUNTO	.
23	PUNTO	.
23	ENTERO	5
23	LLAVE_ABRE	{
24	IDENTIFICADOR	print
24	PARENTESIS_ABRE	(
24	IDENTIFICADOR	numero
24	PARENTESIS_CIERRA	)
25	LLAVE_CIERRA	}
26	VAR	var
26	IDENTIFICADOR	contador
26	DOS_PUNTOS	:
26	IDENTIFICADOR	Int
26	ASIGNACION	=
26	ENTERO	0
27	WHILE	while
27	IDENTIFICADOR	contador
27	MENOR	<
27	ENTERO	10
27	LLAVE_ABRE	{
28	IDENTIFICADOR	contador
28	SUMA_ASIGNACION	+=
28	ENTERO	1
29	LLAVE_CIERRA	}
30	FUNC	func
30	IDENTIFICADOR	saludar
30	PARENTESIS_ABRE	(
30	IDENTIFICADOR	nombre
30	DOS_PUNTOS	:
30	IDENTIFICADOR	String
30	PARENTESIS_CIERRA	)
30	FLECHA_RETORNO	->
30	IDENTIFICADOR	String
30	LLAVE_ABRE	{
31	RETURN	return
31	CADENA	"Hola "
31	SUMA	+
31	IDENTIFICADOR	nombre
32	LLAVE_CIERRA	}
33	LET	let
33	IDENTIFICADOR	mensaje
33	DOS_PUNTOS	:
33	IDENTIFICADOR	String
33	ASIGNACION	=
33	IDENTIFICADOR	saludar
33	PARENTESIS_ABRE	(
33	IDENTIFICADOR	nombre
33	DOS_PUNTOS	:
33	IDENTIFICADOR	nombre
33	PARENTESIS_CIERRA	)
34	IDENTIFICADOR	print
34	PARENTESIS_ABRE	(
34	IDENTIFICADOR	mensaje
34	PARENTESIS_CIERRA	)
35	STRUCT	struct
35	IDENTIFICADOR	Estudiante
35	LLAVE_ABRE	{
36	VAR	var
36	IDENTIFICADOR	nombre
36	DOS_PUNTOS	:
36	IDENTIFICADOR	String
37	VAR	var
37	IDENTIFICADOR	edad
37	DOS_PUNTOS	:
37	IDENTIFICADOR	Int
38	VAR	var
38	IDENTIFICADOR	nota
38	DOS_PUNTOS	:
38	IDENTIFICADOR	Double
39	LLAVE_CIERRA	}
40	VAR	var
40	IDENTIFICADOR	estudiante
40	ASIGNACION	=
40	IDENTIFICADOR	Estudiante
40	PARENTESIS_ABRE	(
40	IDENTIFICADOR	nombre
40	DOS_PUNTOS	:
40	CADENA	"Carlos"
40	COMA	,
40	IDENTIFICADOR	edad
40	DOS_PUNTOS	:
40	ENTERO	21
40	COMA	,
40	IDENTIFICADOR	nota
40	DOS_PUNTOS	:
40	FLOTANTE	90.0
40	PARENTESIS_CIERRA	)
41	IDENTIFICADOR	print
41	PARENTESIS_ABRE	(
41	IDENTIFICADOR	estudiante
41	PUNTO	.
41	IDENTIFICADOR	nombre
41	PARENTESIS_CIERRA	)
42	IDENTIFICADOR	print
42	PARENTESIS_ABRE	(
42	IDENTIFICADOR	estudiante
42	PUNTO	.
42	IDENTIFICADOR	edad
42	PARENTESIS_CIERRA	)
43	CLASS	class
43	IDENTIFICADOR	Curso
43	LLAVE_ABRE	{
44	VAR	var
44	IDENTIFICADOR	nombre
44	DOS_PUNTOS	:
44	IDENTIFICADOR	String
45	VAR	var
45	IDENTIFICADOR	creditos
45	DOS_PUNTOS	:
45	IDENTIFICADOR	Int
46	INIT	init
46	PARENTESIS_ABRE	(
46	IDENTIFICADOR	nombre
46	DOS_PUNTOS	:
46	IDENTIFICADOR	String
46	COMA	,
46	IDENTIFICADOR	creditos
46	DOS_PUNTOS	:
46	IDENTIFICADOR	Int
46	PARENTESIS_CIERRA	)
46	LLAVE_ABRE	{
47	SELF	self
47	PUNTO	.
47	IDENTIFICADOR	nombre
47	ASIGNACION	=
47	IDENTIFICADOR	nombre
48	SELF	self
48	PUNTO	.
48	IDENTIFICADOR	creditos
48	ASIGNACION	=
48	IDENTIFICADOR	creditos
49	LLAVE_CIERRA	}
50	LLAVE_CIERRA	}
51	VAR	var
51	IDENTIFICADOR	curso
51	ASIGNACION	=
51	IDENTIFICADOR	Curso
51	PARENTESIS_ABRE	(
51	IDENTIFICADOR	nombre
51	DOS_PUNTOS	:
51	CADENA	"Programacion"
51	COMA	,
51	IDENTIFICADOR	creditos
51	DOS_PUNTOS	:
51	ENTERO	4
51	PARENTESIS_CIERRA	)
52	IDENTIFICADOR	print
52	PARENTESIS_ABRE	(
52	IDENTIFICADOR	curso
52	PUNTO	.
52	IDENTIFICADOR	nombre
52	PARENTESIS_CIERRA	)
53	SWITCH	switch
53	IDENTIFICADOR	semestre
53	LLAVE_ABRE	{
54	CASE	case
54	ENTERO	1
54	DOS_PUNTOS	:
55	IDENTIFICADOR	print
55	PARENTESIS_ABRE	(
55	CADENA	"Primer semestre"
55	PARENTESIS_CIERRA	)
56	CASE	case
56	ENTERO	2
56	DOS_PUNTOS	:
57	IDENTIFICADOR	print
57	PARENTESIS_ABRE	(
57	CADENA	"Segundo semestre"
57	PARENTESIS_CIERRA	)
58	CASE	case
58	ENTERO	3
58	DOS_PUNTOS	:
59	IDENTIFICADOR	print
59	PARENTESIS_ABRE	(
59	CADENA	"Tercer semestre"
59	PARENTESIS_CIERRA	)
60	DEFAULT	default
60	DOS_PUNTOS	:
61	IDENTIFICADOR	print
61	PARENTESIS_ABRE	(
61	CADENA	"Otro semestre"
61	PARENTESIS_CIERRA	)
62	LLAVE_CIERRA	}
63	VAR	var
63	IDENTIFICADOR	suma
63	DOS_PUNTOS	:
63	IDENTIFICADOR	Int
63	ASIGNACION	=
63	ENTERO	10
63	SUMA	+
63	ENTERO	20
64	VAR	var
64	IDENTIFICADOR	resta
64	DOS_PUNTOS	:
64	IDENTIFICADOR	Int
64	ASIGNACION	=
64	ENTERO	50
64	RESTA	-
64	ENTERO	15
65	VAR	var
65	IDENTIFICADOR	multiplicacion
65	DOS_PUNTOS	:
65	IDENTIFICADOR	Int
65	ASIGNACION	=
65	ENTERO	5
65	MULTIPLICACION	*
65	ENTERO	4
66	VAR	var
66	IDENTIFICADOR	division
66	DOS_PUNTOS	:
66	IDENTIFICADOR	Int
66	ASIGNACION	=
66	ENTERO	100
66	DIVISION	/
66	ENTERO	5
67	VAR	var
67	IDENTIFICADOR	modulo
67	DOS_PUNTOS	:
67	IDENTIFICADOR	Int
67	ASIGNACION	=
67	ENTERO	10
67	MODULO	%
67	ENTERO	3
68	VAR	var
68	IDENTIFICADOR	resultado
68	DOS_PUNTOS	:
68	IDENTIFICADOR	Bool
68	ASIGNACION	=
68	IDENTIFICADOR	suma
68	MAYOR	>
68	IDENTIFICADOR	resta
69	IDENTIFICADOR	resultado
69	ASIGNACION	=
69	IDENTIFICADOR	suma
69	DIFERENTE	!=
69	IDENTIFICADOR	resta
70	IDENTIFICADOR	resultado
70	ASIGNACION	=
70	IDENTIFICADOR	suma
70	MENOR_IGUAL	<=
70	IDENTIFICADOR	resta
71	IDENTIFICADOR	resultado
71	ASIGNACION	=
71	IDENTIFICADOR	suma
71	MAYOR_IGUAL	>=
71	IDENTIFICADOR	resta
72	IDENTIFICADOR	resultado
72	ASIGNACION	=
72	IDENTIFICADOR	activo
72	OR	||
72	IDENTIFICADOR	aprobado
73	IDENTIFICADOR	resultado
73	ASIGNACION	=
73	IDENTIFICADOR	activo
73	AND	&&
73	IDENTIFICADOR	aprobado
74	IDENTIFICADOR	resultado
74	ASIGNACION	=
74	NOT	!
74	IDENTIFICADOR	aprobado
75	IDENTIFICADOR	edad
75	SUMA_ASIGNACION	+=
75	ENTERO	1
76	IDENTIFICADOR	promedio
76	RESTA_ASIGNACION	-=
76	FLOTANTE	2.5
